4436.00,19452.00,10840.00,4568.00,19352.00,10804.00,4944.00,19128.00,10844.00,4644.00,19140.00,11064.00,4696.00,19308.00,10664.00,5148.00,19220.00,10428.00,5508.00,19140.00,10592.00,5416.00,19184.00,10672.00,5184.00,19332.00,10632.00,4876.00,18368.00,8552.00
5476.00,19108.00,11028.00,5380.00,19040.00,10936.00,5540.00,19224.00,10516.00,5556.00,18900.00,10700.00,5336.00,19016.00,11180.00,5224.00,19988.00,10416.00,4984.00,19368.00,10596.00,5080.00,19444.00,10120.00,4980.00,19104.00,10624.00,5060.00,19104.00,10648.00
5704.00,19000.00,10020.00,5492.00,19248.00,10324.00,5756.00,19020.00,10304.00,5708.00,19192.00,10948.00,6060.00,19196.00,10744.00,5636.00,19228.00,10300.00,5608.00,19152.00,10388.00,5640.00,19048.00,10096.00,5668.00,19060.00,11076.00,5344.00,19048.00,10796.00
5992.00,19116.00,10564.00,5704.00,19224.00,10912.00,5912.00,18972.00,10776.00,6104.00,18848.00,10528.00,5736.00,19032.00,10832.00,5928.00,19176.00,10772.00,5732.00,18952.00,10448.00,5160.00,19080.00,10864.00,5416.00,18896.00,10760.00,5560.00,18900.00,11096.00
6024.00,18620.00,11000.00,5652.00,18472.00,11100.00,5936.00,18632.00,11176.00,5760.00,18728.00,10800.00,5972.00,18812.00,10816.00,6064.00,18636.00,10848.00,6056.00,18668.00,10832.00,6104.00,19216.00,10292.00,5592.00,19088.00,10624.00,5452.00,18948.00,10828.00
5980.00,18428.00,10828.00,5968.00,18904.00,11064.00,5844.00,18836.00,11060.00,5944.00,18440.00,11076.00,5932.00,18708.00,11000.00,5480.00,18884.00,10948.00,5600.00,18816.00,11032.00,5672.00,18804.00,11156.00,5524.00,18896.00,10992.00,5488.00,18912.00,10956.00
6008.00,18600.00,11024.00,6024.00,18732.00,10872.00,5884.00,18380.00,11008.00,5976.00,18448.00,11156.00,6024.00,18584.00,11020.00,5852.00,18564.00,11012.00,5780.00,18584.00,11132.00,5844.00,18824.00,10800.00,5800.00,19068.00,10772.00,6000.00,18724.00,10984.00
6400.00,18468.00,10796.00,6484.00,18624.00,11012.00,6500.00,18744.00,10792.00,6088.00,18848.00,10540.00,5652.00,19044.00,10664.00,5564.00,18472.00,10632.00,5656.00,18840.00,10948.00,5588.00,19000.00,11076.00,5660.00,18880.00,10732.00,5628.00,18656.00,10704.00
5920.00,18924.00,10592.00,6520.00,18424.00,10892.00,6364.00,18732.00,10556.00,6260.00,18644.00,10948.00,6484.00,19260.00,10136.00,6112.00,18672.00,10728.00,5984.00,18564.00,10704.00,6112.00,18588.00,11092.00,5912.00,18720.00,10956.00,5744.00,18692.00,10808.00
6376.00,18536.00,11020.00,6308.00,18532.00,10808.00,6080.00,18396.00,11500.00,6288.00,18364.00,11276.00,6252.00,19576.00,10580.00,6200.00,18716.00,10792.00,6068.00,18512.00,10684.00,6120.00,18964.00,10460.00,6224.00,18676.00,10664.00,6052.00,18544.00,10992.00
